well_position	broad_sample
F05	ccsbBroad304_06343
F06	ccsbBroad304_06588
F07	ccsbBroad304_14989
F08	ccsbBroad304_16173
F09	ccsbBroad304_06846
F10	ccsbBroad304_14804
F11	ccsbBroad304_06755
F12	ccsbBroad304_00008
F13	ccsbBroad304_02128
F14	ccsbBroad304_11738
F15	ccsbBroad304_14538
F16	ccsbBroad304_01334
F17	ccsbBroad304_01398
F18	ccsbBroad304_02201
F19	ccsbBroad304_00396
F20	ccsbBroad304_01161
F21	ccsbBroad304_00407
F22	ccsbBroad304_00555
F23	ccsbBroad304_03934
F24	ccsbBroad304_00331
G01	ccsbBroad304_10934
G02	ccsbBroad304_02705
G03	ccsbBroad304_01398
G04	
G05	ccsbBroad304_03155
G06	ccsbBroad304_02415
G07	ccsbBroad304_01690
G08	ccsbBroad304_00843
G09	ccsbBroad304_06874
G10	ccsbBroad304_02392
G11	ccsbBroad304_01760
G12	ccsbBroad304_00150
G13	ccsbBroad304_14931
G14	ccsbBroad304_00129
G15	ccsbBroad304_00371
G16	ccsbBroad304_06884
G17	ccsbBroad304_01404
G18	ccsbBroad304_14762
G19	ccsbBroad304_06846
G20	ccsbBroad304_01398
G21	ccsbBroad304_00805
G22	ccsbBroad304_00371
G23	ccsbBroad304_06403
G24	ccsbBroad304_02826
H01	ccsbBroad304_14688
H02	ccsbBroad304_07061
H03	ccsbBroad304_01278
H04	ccsbBroad304_02173
H05	ccsbBroad304_14671
H06	ccsbBroad304_14989
H07	ccsbBroad304_00454
H08	ccsbBroad304_00494
H09	ccsbBroad304_00037
H10	ccsbBroad304_14932
H11	ccsbBroad304_14579
H12	ccsbBroad304_14540
H13	ccsbBroad304_01334
H14	ccsbBroad304_06755
H15	ccsbBroad304_14741
H16	ccsbBroad304_02128
H17	ccsbBroad304_14679
H18	ccsbBroad304_00037
H19	ccsbBroad304_14804
H20	ccsbBroad304_01278
H21	ccsbBroad304_07535
H22	ccsbBroad304_00142
H23	ccsbBroad304_04829
H24	ccsbBroad304_10895
I01	ccsbBroad304_06088
I02	ccsbBroad304_01340
I03	ccsbBroad304_14762
I04	ccsbBroad304_06188
I05	ccsbBroad304_02173
I06	ccsbBroad304_06846
I07	ccsbBroad304_06884
I08	ccsbBroad304_00811
I09	ccsbBroad304_06908
I10	ccsbBroad304_16175
I11	ccsbBroad304_01020
I12	ccsbBroad304_06754
I13	ccsbBroad304_01287
I14	ccsbBroad304_01287
I15	ccsbBroad304_00811
I16	ccsbBroad304_05439
I17	ccsbBroad304_01213
I18	ccsbBroad304_01404
I19	ccsbBroad304_00272
I20	ccsbBroad304_14631
I21	ccsbBroad304_09091
I22	ccsbBroad304_02173
I23	ccsbBroad304_01666
I24	ccsbBroad304_00691
J01	ccsbBroad304_01602
J02	ccsbBroad304_00576
J03	ccsbBroad304_05785
J04	ccsbBroad304_14572
J05	
J06	ccsbBroad304_02831
J07	ccsbBroad304_14597
J08	ccsbBroad304_06343
J09	ccsbBroad304_01230
J10	ccsbBroad304_00221
J11	ccsbBroad304_01161
J12	ccsbBroad304_00396
J13	ccsbBroad304_14540
J14	ccsbBroad304_02813
J15	ccsbBroad304_06588
J16	ccsbBroad304_14538
J17	ccsbBroad304_00326
J18	ccsbBroad304_14635
J19	ccsbBroad304_01283
J20	ccsbBroad304_07535
J21	ccsbBroad304_00156
J22	ccsbBroad304_06846
J23	ccsbBroad304_10895
J24	ccsbBroad304_01649
K01	ccsbBroad304_00904
K02	ccsbBroad304_00904
K03	ccsbBroad304_11445
K04	ccsbBroad304_07194
K05	ccsbBroad304_02415
K06	ccsbBroad304_00280
K07	ccsbBroad304_02258
K08	ccsbBroad304_02831
K09	ccsbBroad304_00411
K10	ccsbBroad304_14827
K11	ccsbBroad304_06138
K12	ccsbBroad304_06874
K13	ccsbBroad304_14644
K14	ccsbBroad304_01282
K15	ccsbBroad304_14804
K16	ccsbBroad304_02258
K17	ccsbBroad304_00150
K18	ccsbBroad304_01991
K19	ccsbBroad304_01282
K20	ccsbBroad304_01020
K21	ccsbBroad304_03827
K22	ccsbBroad304_00411
K23	ccsbBroad304_00156
K24	ccsbBroad304_14804
L01	ccsbBroad304_00476
L02	ccsbBroad304_08590
L03	ccsbBroad304_14572
L04	ccsbBroad304_06221
L05	ccsbBroad304_01216
L06	ccsbBroad304_07557
L07	ccsbBroad304_02258
L08	
L09	ccsbBroad304_01144
L10	ccsbBroad304_00055
L11	ccsbBroad304_14770
L12	ccsbBroad304_01144
L13	ccsbBroad304_06451
L14	ccsbBroad304_01283
L15	ccsbBroad304_02201
L16	ccsbBroad304_01398
L17	ccsbBroad304_00055
L18	ccsbBroad304_06085
L19	ccsbBroad304_14932
L20	ccsbBroad304_00504
L21	ccsbBroad304_00008
L22	ccsbBroad304_01230
L23	ccsbBroad304_03625
L24	ccsbBroad304_01607
M01	ccsbBroad304_00202
M02	ccsbBroad304_14724
M03	ccsbBroad304_00894
M04	ccsbBroad304_00272
M05	ccsbBroad304_00954
M06	ccsbBroad304_00805
M07	ccsbBroad304_06754
M08	ccsbBroad304_06138
M09	ccsbBroad304_03625
M10	ccsbBroad304_09091
M11	ccsbBroad304_06353
M12	ccsbBroad304_14931
M13	ccsbBroad304_02030
M14	ccsbBroad304_02030
M15	ccsbBroad304_06483
M16	ccsbBroad304_05206
M17	ccsbBroad304_01991
M18	ccsbBroad304_01690
M19	ccsbBroad304_02392
M20	ccsbBroad304_06908
M21	ccsbBroad304_00280
M22	ccsbBroad304_03827
M23	ccsbBroad304_05777
M24	ccsbBroad304_14525
N01	ccsbBroad304_14554
N02	ccsbBroad304_04933
N03	ccsbBroad304_00504
N04	ccsbBroad304_06237
N05	ccsbBroad304_00221
N06	ccsbBroad304_07311
N07	ccsbBroad304_02813
N08	ccsbBroad304_14770
N09	ccsbBroad304_02030
N10	ccsbBroad304_09091
N11	ccsbBroad304_03976
N12	ccsbBroad304_00407
N13	ccsbBroad304_01289
N14	ccsbBroad304_01289
N15	ccsbBroad304_06237
N16	ccsbBroad304_14671
N17	ccsbBroad304_11738
N18	ccsbBroad304_05785
N19	ccsbBroad304_14635
N20	ccsbBroad304_06451
N21	ccsbBroad304_07311
N22	ccsbBroad304_14579
N23	ccsbBroad304_04933
N24	ccsbBroad304_05821
O01	ccsbBroad304_00733
O02	ccsbBroad304_14684
O03	ccsbBroad304_01492
O04	ccsbBroad304_05777
O05	ccsbBroad304_03876
O06	ccsbBroad304_03876
O07	ccsbBroad304_04505
O08	ccsbBroad304_10934
O09	ccsbBroad304_03441
O10	ccsbBroad304_00900
O11	ccsbBroad304_02218
O12	ccsbBroad304_01278
O13	ccsbBroad304_07795
O14	ccsbBroad304_01666
O15	ccsbBroad304_01340
O16	ccsbBroad304_01121
O17	ccsbBroad304_00902
O18	ccsbBroad304_05782
O19	ccsbBroad304_06701
O20	ccsbBroad304_00733
O21	ccsbBroad304_03026
O22	ccsbBroad304_06701
O23	ccsbBroad304_05782
O24	ccsbBroad304_03026
P01	ccsbBroad304_00799
P02	ccsbBroad304_14720
P03	ccsbBroad304_00023
P04	ccsbBroad304_00023
P05	ccsbBroad304_00376
P06	ccsbBroad304_00681
P07	ccsbBroad304_05555
P08	ccsbBroad304_04829
P09	ccsbBroad304_06018
P10	ccsbBroad304_14554
P11	ccsbBroad304_02173
P12	ccsbBroad304_02218
P13	ccsbBroad304_00049
P14	ccsbBroad304_00049
P15	ccsbBroad304_00576
P16	ccsbBroad304_00155
P17	ccsbBroad304_00331
P18	ccsbBroad304_01768
P19	ccsbBroad304_08590
P20	ccsbBroad304_00277
P21	ccsbBroad304_06464
P22	ccsbBroad304_00476
P23	ccsbBroad304_01649
P24	ccsbBroad304_03934
