well_position	broad_sample	solvent
B24	BRD-A18992208-003-02-7	DMSO
C01	BRD-A54139254-001-09-2	DMSO
C02	BRD-K44432556-001-05-5	DMSO
C03		DMSO
C04	BRD-K36740062-001-06-6	DMSO
C05	BRD-K27539181-001-08-5	DMSO
C06		DMSO
C07	BRD-K51265828-001-01-0	DMSO
C08	BRD-K51899933-001-02-6	DMSO
C09	BRD-K23363278-001-02-1	DMSO
C10	BRD-K90497590-001-05-9	DMSO
C11	BRD-K69877120-001-01-7	DMSO
C12		DMSO
C13	BRD-K90747162-001-01-4	DMSO
C14	BRD-K81405859-300-01-4	DMSO
C15		DMSO
C16	BRD-K51662849-001-05-4	DMSO
C17	BRD-A65597028-003-08-1	DMSO
C18		DMSO
C19	BRD-K24282351-001-01-4	DMSO
C20	BRD-K44227013-001-08-0	DMSO
C21		DMSO
C22	BRD-K01824976-300-02-9	DMSO
C23	BRD-K50495309-001-02-0	DMSO
C24	BRD-K59058747-001-19-1	DMSO
D01	BRD-K62949423-001-03-1	DMSO
D02	BRD-K22482860-001-20-6	DMSO
D03	BRD-K68143200-001-11-7	DMSO
D04	BRD-K35498378-001-06-1	DMSO
D05	BRD-K37764012-001-03-3	DMSO
D06	BRD-K98357249-001-02-9	DMSO
D07	BRD-K73319509-001-08-0	DMSO
D08	BRD-K58550667-001-08-7	DMSO
D09	BRD-K29530284-001-06-2	DMSO
D10	BRD-K37864785-001-01-0	DMSO
D11	BRD-K42191735-001-08-7	DMSO
D12	BRD-K97181089-003-24-7	DMSO
D13	BRD-K75748943-300-01-3	DMSO
D14		DMSO
D15		DMSO
D16	BRD-K15179513-001-04-2	DMSO
D17	BRD-A72351335-001-04-5	DMSO
D18	BRD-K37385792-003-02-1	DMSO
D19	BRD-A72483914-001-03-7	DMSO
D20	BRD-K69122748-001-10-1	DMSO
D21		DMSO
D22		DMSO
D23	BRD-K36927236-001-36-7	DMSO
D24	BRD-K31170746-001-01-6	DMSO
E01	BRD-K57708067-001-01-3	DMSO
E02	BRD-A48180038-003-24-3	DMSO
E03	BRD-K64054020-001-02-7	DMSO
E04	BRD-K91456750-001-01-9	DMSO
E05	BRD-K07881437-001-03-8	DMSO
E06	BRD-K23363278-001-02-1	DMSO
E07		DMSO
E08	BRD-K02490038-236-03-8	DMSO
E09	BRD-K54330070-001-19-6	DMSO
E10	BRD-K25412176-001-01-9	DMSO
E11	BRD-K03155172-001-03-0	DMSO
E12	BRD-K07442505-001-03-6	DMSO
E13	BRD-K64800655-001-09-0	DMSO
E14		DMSO
E15	BRD-K26514105-001-01-7	DMSO
E16	BRD-K21528677-001-04-4	DMSO
E17		DMSO
E18	BRD-K91188791-001-17-5	DMSO
E19	BRD-K32821942-001-22-1	DMSO
E20	BRD-K33882852-003-02-8	DMSO
E21	BRD-K64890080-001-02-1	DMSO
E22	BRD-K91535048-001-01-2	DMSO
E23	BRD-K67915505-001-01-2	DMSO
E24		DMSO
F01		DMSO
F02	BRD-K12102668-001-25-5	DMSO
F03		DMSO
F04	BRD-K49223707-001-01-0	DMSO
F05	BRD-K91822704-003-07-2	DMSO
F06		DMSO
F07	BRD-K68164687-001-01-6	DMSO
F08	BRD-A00827783-001-24-6	DMSO
F09		DMSO
F10	BRD-K59632282-052-03-1	DMSO
F11	BRD-K50055394-001-03-6	DMSO
F12	BRD-A36217750-001-16-3	DMSO
F13	BRD-K93942811-001-01-3	DMSO
F14	BRD-A08187463-001-12-9	DMSO
F15	BRD-K84266862-001-03-2	DMSO
F16	BRD-K25412176-001-01-9	DMSO
F17	BRD-K36660044-001-24-2	DMSO
F18	BRD-K42352790-001-05-3	DMSO
F19	BRD-K49350383-001-13-7	DMSO
F20	BRD-K53234107-001-01-6	DMSO
F21	BRD-K29322660-001-01-9	DMSO
F22	BRD-K41599323-001-02-3	DMSO
F23	BRD-K44771174-066-01-0	DMSO
F24	BRD-K14681867-001-01-6	DMSO
G01	BRD-K01666412-001-02-0	DMSO
G02	BRD-K80451230-051-02-6	DMSO
G03	BRD-K60476892-001-16-1	DMSO
G04		DMSO
G05	BRD-K24283677-001-01-9	DMSO
G06	BRD-K03109492-001-02-2	DMSO
G07	BRD-K80666802-003-01-0	DMSO
G08	BRD-K70778732-003-27-5	DMSO
G09		DMSO
G10		DMSO
G11	BRD-K10670311-001-17-1	DMSO
G12	BRD-K29791386-001-01-8	DMSO
G13		DMSO
G14	BRD-K48722258-300-11-0	DMSO
G15	BRD-A30815329-001-12-1	DMSO
G16	BRD-A99888680-001-05-3	DMSO
G17	BRD-K50836978-001-03-3	DMSO
G18		DMSO
G19	BRD-K77220725-003-01-5	DMSO
G20	BRD-A89164055-001-03-3	DMSO
G21	BRD-K89517477-001-01-4	DMSO
G22	BRD-A24122750-001-03-7	DMSO
G23	BRD-K70463136-001-01-5	DMSO
G24	BRD-K16444452-001-09-1	DMSO
H01	BRD-K05531427-001-01-7	DMSO
H02	BRD-K77087341-001-02-4	DMSO
H03	BRD-K61688984-001-02-9	DMSO
H04		DMSO
H05	BRD-K03406345-001-21-1	DMSO
H06	BRD-K60150510-001-15-6	DMSO
H07	BRD-K16803204-001-01-6	DMSO
H08	BRD-K76037122-001-02-5	DMSO
H09	BRD-K23913458-001-20-7	DMSO
H10		DMSO
H11	BRD-K73789395-001-09-9	DMSO
H12	BRD-K76792669-001-08-1	DMSO
H13		DMSO
H14	BRD-K26970495-001-02-7	DMSO
H15	BRD-A74391928-051-03-9	DMSO
H16	BRD-K82818427-001-04-8	DMSO
H17		DMSO
H18		DMSO
H19	BRD-K26989966-001-04-3	DMSO
H20	BRD-K83896451-001-06-7	DMSO
H21	BRD-K62810658-001-11-4	DMSO
H22	BRD-K01825690-065-01-9	DMSO
H23	BRD-K75390981-300-04-9	DMSO
H24	BRD-K38272302-001-02-7	DMSO
I01	BRD-A84687895-001-03-2	DMSO
I02		DMSO
I03	BRD-K15819326-001-01-6	DMSO
I04	BRD-A93477898-001-04-2	DMSO
I05	BRD-K86525559-001-07-8	DMSO
I06	BRD-K64800655-001-09-0	DMSO
I07	BRD-K36016295-001-05-2	DMSO
I08	BRD-K06674495-334-04-0	DMSO
I09		DMSO
I10		DMSO
I11	BRD-K50498985-001-03-3	DMSO
I12	BRD-K52960356-001-13-0	DMSO
I13	BRD-A69651145-003-11-4	DMSO
I14	BRD-K64890080-001-02-1	DMSO
I15	BRD-K84783599-001-01-0	DMSO
I16	BRD-K76908866-001-07-6	DMSO
I17	BRD-K38852836-001-04-9	DMSO
I18	BRD-K80935598-001-01-1	DMSO
I19	BRD-A18763547-300-06-3	DMSO
I20	BRD-K32730239-001-01-0	DMSO
I21		DMSO
I22		DMSO
I23	BRD-A64173453-015-03-1	DMSO
I24	BRD-K09338665-001-08-9	DMSO
J01	BRD-K64034691-001-01-9	DMSO
J02	BRD-K38512030-001-01-7	DMSO
J03	BRD-K74514084-003-09-2	DMSO
J04	BRD-K19333160-001-01-3	DMSO
J05	BRD-K97091514-001-11-4	DMSO
J06	BRD-K41599323-001-02-3	DMSO
J07	BRD-K47738867-001-01-5	DMSO
J08	BRD-A91822151-001-05-0	DMSO
J09	BRD-K19477839-001-07-6	DMSO
J10	BRD-K95785537-001-22-3	DMSO
J11	BRD-A63444178-001-01-5	DMSO
J12	BRD-K31476763-001-01-5	DMSO
J13	BRD-K61918008-001-07-1	DMSO
J14		DMSO
J15	BRD-K09295674-001-09-8	DMSO
J16	BRD-K25311561-001-10-7	DMSO
J17	BRD-K24696047-001-02-3	DMSO
J18	BRD-K78692225-001-24-5	DMSO
J19		DMSO
J20	BRD-K03406345-001-21-1	DMSO
J21	BRD-K03601870-001-01-2	DMSO
J22	BRD-K66430217-001-03-8	DMSO
J23		DMSO
J24	BRD-K02554563-001-01-6	DMSO
K01	BRD-K59831625-001-03-9	DMSO
K02	BRD-K55567017-001-12-3	DMSO
K03	BRD-K07762753-001-05-1	DMSO
K04	BRD-K53972329-001-01-3	DMSO
K05		DMSO
K06		DMSO
K07	BRD-K16810791-001-01-0	DMSO
K08	BRD-K43236057-001-07-1	DMSO
K09	BRD-A51831848-001-01-7	DMSO
K10	BRD-K13094524-001-04-2	DMSO
K11	BRD-K86525559-001-07-8	DMSO
K12	BRD-K16761703-001-03-8	DMSO
K13		DMSO
K14	BRD-K36055864-001-20-0	DMSO
K15	BRD-K25243230-001-01-2	DMSO
K16		DMSO
K17	BRD-K00259736-001-16-4	DMSO
K18	BRD-K04210847-001-21-9	DMSO
K19		DMSO
K20	BRD-K33882852-003-02-8	DMSO
K21	BRD-K20986415-001-02-6	DMSO
K22	BRD-K87691185-001-01-2	DMSO
K23	BRD-K56740996-001-02-1	DMSO
K24	BRD-K99616396-316-05-3	DMSO
L01	BRD-K43570081-001-02-4	DMSO
L02		DMSO
L03	BRD-K32292990-001-03-6	DMSO
L04	BRD-K45293975-001-02-0	DMSO
L05		DMSO
L06		DMSO
L07	BRD-K37355418-236-01-6	DMSO
L08	BRD-A37704979-001-12-3	DMSO
L09	BRD-K58550667-001-08-7	DMSO
L10	BRD-A91008255-003-24-8	DMSO
L11	BRD-K59325863-001-04-4	DMSO
L12	BRD-K42191735-001-08-7	DMSO
L13	BRD-K10843433-001-23-5	DMSO
L14	BRD-K97010173-001-04-1	DMSO
L15		DMSO
L16	BRD-K86930074-001-05-0	DMSO
L17	BRD-A31564021-001-02-6	DMSO
L18		DMSO
L19	BRD-K08893438-001-06-4	DMSO
L20	BRD-K93788137-001-04-1	DMSO
L21	BRD-K14560436-001-01-4	DMSO
L22	BRD-K01826724-003-07-9	DMSO
L23	BRD-A20697603-001-07-2	DMSO
L24	BRD-K44067360-001-29-5	DMSO
M01		DMSO
M02	BRD-K47557313-001-02-7	DMSO
M03	BRD-K67637637-003-11-8	DMSO
M04		DMSO
M05	BRD-K20897876-001-11-8	DMSO
M06	BRD-K77627880-001-04-0	DMSO
M07	BRD-K72063794-003-01-0	DMSO
M08	BRD-K30177383-001-01-0	DMSO
M09	BRD-K45746021-003-01-9	DMSO
M10	BRD-K38852836-001-04-9	DMSO
M11	BRD-K93779381-001-01-9	DMSO
M12	BRD-K78126613-001-27-7	DMSO
M13	BRD-K94863486-001-02-2	DMSO
M14	BRD-K63430059-001-16-4	DMSO
M15	BRD-K13533483-001-16-2	DMSO
M16	BRD-K81197548-003-01-4	DMSO
M17		DMSO
M18	BRD-K97072811-001-11-4	DMSO
M19	BRD-K52075715-001-06-7	DMSO
M20	BRD-K12502280-001-11-4	DMSO
M21	BRD-A63310107-001-04-8	DMSO
M22		DMSO
M23		DMSO
M24	BRD-K17849083-001-32-9	DMSO
N01	BRD-K70821460-300-02-4	DMSO
N02	BRD-K51485109-001-01-4	DMSO
N03	BRD-K91370081-001-25-1	DMSO
N04	BRD-K49350383-001-13-7	DMSO
N05	BRD-K11558771-001-13-9	DMSO
N06	BRD-K91283740-003-01-6	DMSO
N07		DMSO
N08		DMSO
N09	BRD-K21728777-001-02-3	DMSO
N10	BRD-A23124853-001-01-4	DMSO
N11	BRD-K55966568-001-09-6	DMSO
N12	BRD-K71106091-001-09-5	DMSO
N13	BRD-K22149900-001-06-2	DMSO
N14	BRD-K28132190-001-02-0	DMSO
N15	BRD-K76674262-001-03-3	DMSO
N16	BRD-K36461289-001-05-8	DMSO
N17		DMSO
N18	BRD-K07881437-001-03-8	DMSO
N19	BRD-K61397605-001-01-8	DMSO
N20	BRD-K61642990-001-01-0	DMSO
N21	BRD-K37764012-001-03-3	DMSO
N22		DMSO
N23	BRD-K47978074-001-03-2	DMSO
N24	BRD-K22134346-001-22-3	DMSO
O01	BRD-K16542329-001-16-8	DMSO
O02	BRD-A10188456-001-04-9	DMSO
O03	BRD-K93632104-001-17-2	DMSO
O04	BRD-A69636825-003-04-7	DMSO
O05	BRD-K19227686-001-18-6	DMSO
O06	BRD-K98763141-001-30-8	DMSO
O07		DMSO
O08	BRD-A15397381-001-02-5	DMSO
O09	BRD-K46625559-001-01-8	DMSO
O10	BRD-A10739734-003-09-8	DMSO
O11	BRD-K11796549-001-05-2	DMSO
O12	BRD-K26521938-001-07-2	DMSO
O13	BRD-A07207424-001-14-0	DMSO
O14	BRD-K72815923-034-02-0	DMSO
O15	BRD-K01825589-310-02-9	DMSO
O16	BRD-K68567222-001-01-2	DMSO
O17	BRD-K01825660-322-01-9	DMSO
O18		DMSO
O19	BRD-K08953028-001-09-6	DMSO
O20	BRD-K20093108-001-02-3	DMSO
O21	BRD-A58048407-001-20-4	DMSO
O22	BRD-K80970344-201-08-6	DMSO
O23	BRD-K18289362-001-02-2	DMSO
O24	BRD-K43330982-001-02-3	DMSO
P01	BRD-K05878375-236-05-7	DMSO
P02	BRD-K91543828-001-02-0	DMSO
P03	BRD-K48830578-001-01-9	DMSO
P04	BRD-A72767275-003-01-6	DMSO
P05		DMSO
P06	BRD-K70586315-001-02-4	DMSO
P07	BRD-K40109029-001-02-9	DMSO
P08	BRD-A83029242-001-06-1	DMSO
P09	BRD-K57313110-001-06-8	DMSO
P10		DMSO
P11	BRD-K15502390-001-20-9	DMSO
P12	BRD-K92049597-001-20-8	DMSO
P13	BRD-K16730910-001-07-3	DMSO
P14	BRD-A09722536-002-18-0	DMSO
P15	BRD-K18895904-001-16-1	DMSO
P16	BRD-A25569250-001-03-3	DMSO
P17	BRD-K29895144-001-01-0	DMSO
P18	BRD-K67017579-001-28-1	DMSO
P19	BRD-K77060810-001-01-5	DMSO
P20	BRD-K68982262-001-01-4	DMSO
P21	BRD-K24616672-003-20-1	DMSO
P22	BRD-A82396632-008-30-8	DMSO
P23	BRD-K61250553-003-30-6	DMSO
P24	BRD-K70358946-001-17-3	DMSO
