Metadata_broad_sample,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_target,Metadata_timepoint_code,Metadata_target_radix,Metadata_target_is_across,Metadata_split
ccsbBroad304_03934,A549,96,ORF,P3H1,high,19,TRUE,train
ccsbBroad304_00331,A549,96,ORF,CCR1,high,166,TRUE,train
ccsbBroad304_10934,A549,96,ORF,KCNMA1,high,107,TRUE,train
ccsbBroad304_02415,A549,96,ORF,TUBB3,high,18,TRUE,train
ccsbBroad304_01690,A549,96,ORF,TNNC1,high,152,TRUE,train
ccsbBroad304_06874,A549,96,ORF,RPL3,high,46,TRUE,train
ccsbBroad304_02392,A549,96,ORF,PAK4,high,179,TRUE,train
ccsbBroad304_00150,A549,96,ORF,BAX,high,48,TRUE,train
ccsbBroad304_14931,A549,96,ORF,DYRK1B,high,157,TRUE,train
ccsbBroad304_00371,A549,96,ORF,MAPK14,high,92,TRUE,train
ccsbBroad304_06884,A549,96,ORF,RPL23A,high,94,TRUE,train
ccsbBroad304_01404,A549,96,ORF,RNASE1,high,6,TRUE,train
ccsbBroad304_14762,A549,96,ORF,PIK3CG,high,77,TRUE,train
ccsbBroad304_00805,A549,96,ORF,HTR2C,high,160,TRUE,train
ccsbBroad304_02173,A549,96,ORF,ATG5,high,170,FALSE,train
ccsbBroad304_14671,A549,96,ORF,IGF1R,high,126,TRUE,train
ccsbBroad304_00037,A549,96,ORF,AGER,high,155,TRUE,train
ccsbBroad304_14932,A549,96,ORF,AURKB,high,8,TRUE,train
ccsbBroad304_14579,A549,96,ORF,CDK9,high,79,TRUE,train
ccsbBroad304_14540,A549,96,ORF,ALK,high,45,TRUE,train
ccsbBroad304_07535,A549,96,ORF,PARP3,high,20,TRUE,train
ccsbBroad304_04829,A549,96,ORF,GJB4,high,108,TRUE,train
ccsbBroad304_10895,A549,96,ORF,HTR3A,high,162,TRUE,train
ccsbBroad304_01340,A549,96,ORF,PTPN2,high,44,TRUE,train
ccsbBroad304_00811,A549,96,ORF,ICAM1,high,100,TRUE,train
ccsbBroad304_06908,A549,96,ORF,S100B,high,35,TRUE,train
ccsbBroad304_01020,A549,96,ORF,MME,high,120,TRUE,train
ccsbBroad304_06754,A549,96,ORF,PPARD,high,127,TRUE,train
ccsbBroad304_01287,A549,96,ORF,MAPK8,high,111,TRUE,train
ccsbBroad304_00272,A549,96,ORF,CDC25A,high,171,TRUE,train
ccsbBroad304_01666,A549,96,ORF,TGFBR1,high,69,TRUE,train
ccsbBroad304_00576,A549,96,ORF,FOXM1,high,57,TRUE,train
ccsbBroad304_05785,A549,96,ORF,ADRA2B,high,33,TRUE,train
ccsbBroad304_14572,A549,96,ORF,CDK2,high,167,TRUE,train
ccsbBroad304_01230,A549,96,ORF,PNLIP,high,145,TRUE,train
ccsbBroad304_00221,A549,96,ORF,CASP3,high,5,TRUE,train
ccsbBroad304_02813,A549,96,ORF,CA14,high,150,TRUE,train
ccsbBroad304_14635,A549,96,ORF,PTK2B,high,96,TRUE,train
ccsbBroad304_01283,A549,96,ORF,PRKCE,high,75,TRUE,train
ccsbBroad304_01649,A549,96,ORF,TBXAS1,high,82,TRUE,train
ccsbBroad304_00904,A549,96,ORF,KCNQ2,high,34,TRUE,train
ccsbBroad304_00280,A549,96,ORF,CDK7,high,47,TRUE,train
ccsbBroad304_00411,A549,96,ORF,CYP3A4,high,3,TRUE,train
ccsbBroad304_06138,A549,96,ORF,EDNRB,high,17,TRUE,train
ccsbBroad304_01282,A549,96,ORF,PRKCB,high,52,TRUE,train
ccsbBroad304_01991,A549,96,ORF,S1PR4,high,38,TRUE,train
ccsbBroad304_03827,A549,96,ORF,KCTD16,high,172,TRUE,train
ccsbBroad304_00476,A549,96,ORF,S1PR1,high,133,TRUE,train
ccsbBroad304_08590,A549,96,ORF,CACNA2D3,high,177,TRUE,train
ccsbBroad304_01144,A549,96,ORF,PAK1,high,73,TRUE,train
ccsbBroad304_00055,A549,96,ORF,AKR1B1,high,72,TRUE,train
ccsbBroad304_14770,A549,96,ORF,PLK1,high,42,TRUE,train
ccsbBroad304_06451,A549,96,ORF,IMPDH1,high,39,TRUE,train
ccsbBroad304_00504,A549,96,ORF,SLC29A1,high,138,TRUE,train
ccsbBroad304_05777,A549,96,ORF,ADH1C,high,14,TRUE,train
ccsbBroad304_14554,A549,96,ORF,BTK,high,70,TRUE,train
ccsbBroad304_04933,A549,96,ORF,GPR119,high,22,TRUE,train
ccsbBroad304_06237,A549,96,ORF,GAA,high,56,TRUE,train
ccsbBroad304_07311,A549,96,ORF,HDAC3,high,110,TRUE,train
ccsbBroad304_00733,A549,96,ORF,HCK,high,31,TRUE,train
ccsbBroad304_03876,A549,96,ORF,HRH4,high,119,TRUE,train
ccsbBroad304_05782,A549,96,ORF,ADORA2A,high,104,TRUE,train
ccsbBroad304_06701,A549,96,ORF,PDE3A,high,54,TRUE,train
ccsbBroad304_03026,A549,96,ORF,HPGDS,high,123,TRUE,train
ccsbBroad304_00023,A549,96,ORF,ADA,high,97,TRUE,train
ccsbBroad304_00049,A549,96,ORF,ALDH2,high,175,TRUE,train
ccsbBroad304_00900,U2OS,96,ORF,KCNN1,high,102,TRUE,train
ccsbBroad304_07795,U2OS,96,ORF,SLCO2B1,high,49,TRUE,train
ccsbBroad304_02826,U2OS,96,ORF,SLC7A11,high,28,TRUE,train
ccsbBroad304_01492,U2OS,96,ORF,SCNN1G,high,40,TRUE,train
ccsbBroad304_00691,U2OS,96,ORF,GRIN2A,high,25,TRUE,train
ccsbBroad304_00902,U2OS,96,ORF,KCNN4,high,43,TRUE,train
ccsbBroad304_02705,U2OS,96,ORF,SIRT2,high,178,TRUE,train
ccsbBroad304_01122,U2OS,96,ORF,OPRM1,high,176,TRUE,train
ccsbBroad304_00305,U2OS,96,ORF,CHRM3,high,63,TRUE,train
ccsbBroad304_06365,U2OS,96,ORF,HIF1A,high,154,TRUE,train
ccsbBroad304_02831,U2OS,96,ORF,SGK3,high,149,FALSE,train
ccsbBroad304_02201,U2OS,96,ORF,CLOCK,high,142,FALSE,train
ccsbBroad304_06071,U2OS,96,ORF,CYP2A6,high,85,TRUE,train
ccsbBroad304_05926,U2OS,96,ORF,CACNG1,high,118,TRUE,train
ccsbBroad304_06272,U2OS,96,ORF,GHSR,high,139,TRUE,train
ccsbBroad304_00202,U2OS,96,ORF,CACNB4,high,67,TRUE,train
ccsbBroad304_14724,U2OS,96,ORF,DDR2,high,116,TRUE,train
ccsbBroad304_14684,U2OS,96,ORF,KDR,high,76,TRUE,train
ccsbBroad304_04505,U2OS,96,ORF,KCNH7,high,168,TRUE,train
ccsbBroad304_01121,U2OS,96,ORF,OPRL1,high,16,TRUE,train
ccsbBroad304_06088,U2OS,96,ORF,AKR1C1,high,80,TRUE,train
ccsbBroad304_08873,U2OS,96,ORF,P2RY12,high,134,TRUE,train
ccsbBroad304_05921,U2OS,96,ORF,CA5A,high,141,TRUE,train
ccsbBroad304_00304,U2OS,96,ORF,CHRM2,high,10,TRUE,train
ccsbBroad304_00376,U2OS,96,ORF,CSK,high,113,TRUE,train
ccsbBroad304_00477,U2OS,96,ORF,LPAR1,high,143,TRUE,train
ccsbBroad304_02129,U2OS,96,ORF,S1PR2,high,23,TRUE,train
ccsbBroad304_07061,U2OS,96,ORF,TGM2,high,148,TRUE,train
ccsbBroad304_01768,U2OS,96,ORF,VEGFA,high,60,TRUE,train
ccsbBroad304_06018,U2OS,96,ORF,COMT,high,131,TRUE,train
ccsbBroad304_00155,U2OS,96,ORF,CCND1,high,129,TRUE,train
ccsbBroad304_06464,U2OS,96,ORF,ITGB2,high,89,TRUE,train
ccsbBroad304_02258,U2OS,96,ORF,ZBTB24,high,53,FALSE,train
ccsbBroad304_00681,U2OS,96,ORF,FFAR2,high,130,TRUE,train
ccsbBroad304_00799,U2OS,96,ORF,HSP90AB1,high,65,TRUE,train
ccsbBroad304_11023,U2OS,96,ORF,PDE4D,high,36,TRUE,train
ccsbBroad304_14688,U2OS,96,ORF,LCK,high,124,TRUE,train
ccsbBroad304_00277,U2OS,96,ORF,CDK4,high,101,TRUE,train
ccsbBroad304_14525,U2OS,96,ORF,ABL1,high,161,TRUE,train
ccsbBroad304_06403,U2OS,96,ORF,HSD11B1,high,51,TRUE,train
ccsbBroad304_14696,U2OS,96,ORF,MET,high,21,TRUE,train
ccsbBroad304_10688,U2OS,96,ORF,ATM,high,30,TRUE,train
ccsbBroad304_16175,U2OS,96,ORF,BRAF,high,32,TRUE,train
ccsbBroad304_00607,U2OS,96,ORF,GABRB2,high,174,TRUE,train
ccsbBroad304_06811,U2OS,96,ORF,PTGIR,high,165,TRUE,train
ccsbBroad304_06188,U2OS,96,ORF,F10,high,117,TRUE,train
ccsbBroad304_06353,U2OS,96,ORF,HBB,high,9,TRUE,train
ccsbBroad304_01289,U2OS,96,ORF,MAPK13,high,153,FALSE,train
ccsbBroad304_01684,U2OS,96,ORF,TNF,high,1,TRUE,train
ccsbBroad304_06412,U2OS,96,ORF,HSP90AA1,high,128,TRUE,train
ccsbBroad304_01607,U2OS,96,ORF,STAT1,high,136,FALSE,train
ccsbBroad304_05439,U2OS,96,ORF,FFAR4,high,140,TRUE,train
ccsbBroad304_00954,U2OS,96,ORF,LYN,high,86,TRUE,train
ccsbBroad304_00129,U2OS,96,ORF,ATP5F1D,high,87,TRUE,train
ccsbBroad304_06483,U2OS,96,ORF,KCNK1,high,78,TRUE,train
ccsbBroad304_14720,U2OS,96,ORF,NTRK1,high,121,TRUE,train
ccsbBroad304_01602,U2OS,96,ORF,SSTR2,high,81,TRUE,train
ccsbBroad304_00526,U2OS,96,ORF,EZH2,high,29,TRUE,train
ccsbBroad304_06085,U2OS,96,ORF,DCK,high,158,TRUE,train
ccsbBroad304_14741,U2OS,96,ORF,PDPK1,high,91,TRUE,train
ccsbBroad304_00142,U2OS,96,ORF,AVPR1A,high,122,TRUE,train
ccsbBroad304_00326,U2OS,96,ORF,CLK1,high,151,TRUE,train
ccsbBroad304_01396,U2OS,96,ORF,RGS4,high,114,TRUE,train
ccsbBroad304_01216,U2OS,96,ORF,PLD1,high,159,TRUE,train
ccsbBroad304_02218,U2OS,96,ORF,IKBKE,high,2,FALSE,train
ccsbBroad304_02030,U2OS,96,ORF,CFLAR,high,156,FALSE,train
ccsbBroad304_07557,U2OS,96,ORF,"NAMPT",high,147,TRUE,train
ccsbBroad304_14597,U2OS,96,ORF,CSF1R,high,37,TRUE,train
ccsbBroad304_09091,U2OS,96,ORF,SLIRP,high,71,FALSE,train
ccsbBroad304_03625,U2OS,96,ORF,HIF1AN,high,164,FALSE,train
ccsbBroad304_16173,U2OS,96,ORF,KRAS,high,11,TRUE,train
ccsbBroad304_14679,U2OS,96,ORF,JAK1,high,98,TRUE,train
ccsbBroad304_00494,U2OS,96,ORF,ELANE,high,59,TRUE,train
ccsbBroad304_06221,U2OS,96,ORF,FPR1,high,4,TRUE,train
ccsbBroad304_03976,U2OS,96,ORF,PORCN,high,125,TRUE,train
ccsbBroad304_05821,U2OS,96,ORF,ANXA1,high,61,TRUE,train
ccsbBroad304_05555,U2OS,96,ORF,CATSPER4,high,173,TRUE,train
empty,U2OS,96,ORF,empty,high,144,FALSE,train
ccsbBroad304_14827,U2OS,96,ORF,RET,high,135,TRUE,train
ccsbBroad304_02416,U2OS,96,ORF,TUBB4B,high,90,TRUE,train
ccsbBroad304_07194,U2OS,96,ORF,GLRA3,high,93,TRUE,train
ccsbBroad304_01213,U2OS,96,ORF,PLA2G1B,high,74,TRUE,train
ccsbBroad304_03155,U2OS,96,ORF,DHH,high,88,TRUE,train
ccsbBroad304_00156,U2OS,96,ORF,BCL2L1,high,62,FALSE,train
ccsbBroad304_01760,U2OS,96,ORF,USP1,high,95,TRUE,train
ccsbBroad304_14644,U2OS,96,ORF,FLT3,high,105,TRUE,train
ccsbBroad304_00843,U2OS,96,ORF,IL1B,high,112,TRUE,train
ccsbBroad304_01278,U2OS,96,ORF,PRKACB,high,99,FALSE,train
ccsbBroad304_05206,U2OS,96,ORF,TUBB,high,13,TRUE,train
ccsbBroad304_11445,U2OS,96,ORF,HDAC6,high,106,TRUE,train
ccsbBroad304_14631,U2OS,96,ORF,ERBB2,high,84,TRUE,train
ccsbBroad304_00894,U2OS,96,ORF,KCNJ1,high,26,TRUE,train
ccsbBroad304_03441,U2OS,96,ORF,UGT1A9,high,66,TRUE,train
ccsbBroad304_00555,U2OS,96,ORF,FGF1,high,163,TRUE,train
ccsbBroad304_00454,U2OS,96,ORF,DNMT3A,high,103,TRUE,train
ccsbBroad304_06343,U2OS,96,ORF,GUCY1B1,high,115,TRUE,train
ccsbBroad304_06588,U2OS,96,ORF,MMP2,high,169,TRUE,train
ccsbBroad304_14989,U2OS,96,ORF,CHEK2,high,109,TRUE,train
ccsbBroad304_06846,U2OS,96,ORF,RB1,high,41,FALSE,train
ccsbBroad304_14804,U2OS,96,ORF,MAPK9,high,12,FALSE,train
ccsbBroad304_06755,U2OS,96,ORF,PPAT,high,68,TRUE,train
ccsbBroad304_00008,U2OS,96,ORF,ASIC1,high,50,TRUE,train
ccsbBroad304_02128,U2OS,96,ORF,GPR55,high,55,TRUE,train
ccsbBroad304_11738,U2OS,96,ORF,BRD4,high,27,TRUE,train
ccsbBroad304_14538,U2OS,96,ORF,AKT1,high,146,TRUE,train
ccsbBroad304_01334,U2OS,96,ORF,PTGIS,high,58,TRUE,train
ccsbBroad304_01398,U2OS,96,ORF,RHEB,high,64,FALSE,train
ccsbBroad304_00396,U2OS,96,ORF,CTSG,high,137,TRUE,train
ccsbBroad304_01161,U2OS,96,ORF,PDE7A,high,24,TRUE,train
ccsbBroad304_00407,U2OS,96,ORF,CYP1A2,high,15,TRUE,train
ccsbBroad304_03934,U2OS,96,ORF,P3H1,high,19,TRUE,train
ccsbBroad304_00331,U2OS,96,ORF,CCR1,high,166,TRUE,train
ccsbBroad304_10934,U2OS,96,ORF,KCNMA1,high,107,TRUE,train
ccsbBroad304_02415,U2OS,96,ORF,TUBB3,high,18,TRUE,train
ccsbBroad304_01690,U2OS,96,ORF,TNNC1,high,152,TRUE,train
ccsbBroad304_06874,U2OS,96,ORF,RPL3,high,46,TRUE,train
ccsbBroad304_02392,U2OS,96,ORF,PAK4,high,179,TRUE,train
ccsbBroad304_00150,U2OS,96,ORF,BAX,high,48,TRUE,train
ccsbBroad304_14931,U2OS,96,ORF,DYRK1B,high,157,TRUE,train
ccsbBroad304_00371,U2OS,96,ORF,MAPK14,high,92,TRUE,train
ccsbBroad304_06884,U2OS,96,ORF,RPL23A,high,94,TRUE,train
ccsbBroad304_01404,U2OS,96,ORF,RNASE1,high,6,TRUE,train
ccsbBroad304_14762,U2OS,96,ORF,PIK3CG,high,77,TRUE,train
ccsbBroad304_00805,U2OS,96,ORF,HTR2C,high,160,TRUE,train
ccsbBroad304_02173,U2OS,96,ORF,ATG5,high,170,FALSE,train
ccsbBroad304_14671,U2OS,96,ORF,IGF1R,high,126,TRUE,train
ccsbBroad304_00037,U2OS,96,ORF,AGER,high,155,TRUE,train
ccsbBroad304_14932,U2OS,96,ORF,AURKB,high,8,TRUE,train
ccsbBroad304_14579,U2OS,96,ORF,CDK9,high,79,TRUE,train
ccsbBroad304_14540,U2OS,96,ORF,ALK,high,45,TRUE,train
ccsbBroad304_07535,U2OS,96,ORF,PARP3,high,20,TRUE,train
ccsbBroad304_04829,U2OS,96,ORF,GJB4,high,108,TRUE,train
ccsbBroad304_10895,U2OS,96,ORF,HTR3A,high,162,TRUE,train
ccsbBroad304_01340,U2OS,96,ORF,PTPN2,high,44,TRUE,train
ccsbBroad304_00811,U2OS,96,ORF,ICAM1,high,100,TRUE,train
ccsbBroad304_06908,U2OS,96,ORF,S100B,high,35,TRUE,train
ccsbBroad304_01020,U2OS,96,ORF,MME,high,120,TRUE,train
ccsbBroad304_06754,U2OS,96,ORF,PPARD,high,127,TRUE,train
ccsbBroad304_01287,U2OS,96,ORF,MAPK8,high,111,TRUE,train
ccsbBroad304_00272,U2OS,96,ORF,CDC25A,high,171,TRUE,train
ccsbBroad304_01666,U2OS,96,ORF,TGFBR1,high,69,TRUE,train
ccsbBroad304_00576,U2OS,96,ORF,FOXM1,high,57,TRUE,train
ccsbBroad304_05785,U2OS,96,ORF,ADRA2B,high,33,TRUE,train
ccsbBroad304_14572,U2OS,96,ORF,CDK2,high,167,TRUE,train
ccsbBroad304_01230,U2OS,96,ORF,PNLIP,high,145,TRUE,train
ccsbBroad304_00221,U2OS,96,ORF,CASP3,high,5,TRUE,train
ccsbBroad304_02813,U2OS,96,ORF,CA14,high,150,TRUE,train
ccsbBroad304_14635,U2OS,96,ORF,PTK2B,high,96,TRUE,train
ccsbBroad304_01283,U2OS,96,ORF,PRKCE,high,75,TRUE,train
ccsbBroad304_01649,U2OS,96,ORF,TBXAS1,high,82,TRUE,train
ccsbBroad304_00904,U2OS,96,ORF,KCNQ2,high,34,TRUE,train
ccsbBroad304_00280,U2OS,96,ORF,CDK7,high,47,TRUE,train
ccsbBroad304_00411,U2OS,96,ORF,CYP3A4,high,3,TRUE,train
ccsbBroad304_06138,U2OS,96,ORF,EDNRB,high,17,TRUE,train
ccsbBroad304_01282,U2OS,96,ORF,PRKCB,high,52,TRUE,train
ccsbBroad304_01991,U2OS,96,ORF,S1PR4,high,38,TRUE,train
ccsbBroad304_03827,U2OS,96,ORF,KCTD16,high,172,TRUE,train
ccsbBroad304_00476,U2OS,96,ORF,S1PR1,high,133,TRUE,train
ccsbBroad304_08590,U2OS,96,ORF,CACNA2D3,high,177,TRUE,train
ccsbBroad304_01144,U2OS,96,ORF,PAK1,high,73,TRUE,train
ccsbBroad304_00055,U2OS,96,ORF,AKR1B1,high,72,TRUE,train
ccsbBroad304_14770,U2OS,96,ORF,PLK1,high,42,TRUE,train
ccsbBroad304_06451,U2OS,96,ORF,IMPDH1,high,39,TRUE,train
ccsbBroad304_00504,U2OS,96,ORF,SLC29A1,high,138,TRUE,train
ccsbBroad304_05777,U2OS,96,ORF,ADH1C,high,14,TRUE,train
ccsbBroad304_14554,U2OS,96,ORF,BTK,high,70,TRUE,train
ccsbBroad304_04933,U2OS,96,ORF,GPR119,high,22,TRUE,train
ccsbBroad304_06237,U2OS,96,ORF,GAA,high,56,TRUE,train
ccsbBroad304_07311,U2OS,96,ORF,HDAC3,high,110,TRUE,train
ccsbBroad304_00733,U2OS,96,ORF,HCK,high,31,TRUE,train
ccsbBroad304_03876,U2OS,96,ORF,HRH4,high,119,TRUE,train
ccsbBroad304_05782,U2OS,96,ORF,ADORA2A,high,104,TRUE,train
ccsbBroad304_06701,U2OS,96,ORF,PDE3A,high,54,TRUE,train
ccsbBroad304_03026,U2OS,96,ORF,HPGDS,high,123,TRUE,train
ccsbBroad304_00023,U2OS,96,ORF,ADA,high,97,TRUE,train
ccsbBroad304_00049,U2OS,96,ORF,ALDH2,high,175,TRUE,train
ccsbBroad304_00900,A549,48,ORF,KCNN1,low,102,TRUE,train
ccsbBroad304_07795,A549,48,ORF,SLCO2B1,low,49,TRUE,train
ccsbBroad304_02826,A549,48,ORF,SLC7A11,low,28,TRUE,train
ccsbBroad304_01492,A549,48,ORF,SCNN1G,low,40,TRUE,train
ccsbBroad304_00691,A549,48,ORF,GRIN2A,low,25,TRUE,train
ccsbBroad304_00902,A549,48,ORF,KCNN4,low,43,TRUE,train
